name,description,per box
Light Band,"Light bands can be either orange, blue, or military 1/4 inch",100
Medium Band,Medium bands are typically red 1/2 inch,100
Heavy Bands,Heavy bands are typically black 1/2 inch,50
Robust Bands,Robust bands are typically purple 1-1/8 inch,50
Power Bands,Power bands are typically green 1-3/4 inch,30
Strong Bands,Strong bands are typically blue 2-1/2 inch,20
Monster Bands,Monster bands are typically black 4 inch,10
Agility Bands,"Agility bands are typically green 6' x 1.75""",10
Explosive Bands,"Explosive bands are typically black 10' x 2""",10
Hand Grips,,100
Ankle Grips,,100
Door Straps,,432
Small Metal Carabiners,,804
Small Red and Black Carabiners,,500
Large Carabiners,,408
Hand Straps,,250
Travel Bags,,
DVDs,,800
Sleeves,,1000
Manuals,,90
Battle Rope - 1-1/2 inch x 30 ft,,
Battle Rope - 1-1/2 inch x 50 ft,,
Battle Rope - 2 inch x 30 ft,,
Battle Rope - 2 inch x 50 ft,,
