name	quantity per box	60 day need	90 day need	120 day need
Light Band	100	-886	-724	-519
Medium Band	100	-722	-51	812
Heavy Band	50	-441	348	1365
Robust Band	50	198	771	1511
Power Band	30	-18	311	735
Strong Band	20	-31	40	132
Monster Band	10	-19	-15	-10
Agility Bands	10	-34	-32	-30
Explosive Bands	10	-54	-53	-51
Hand Grips	100	87	158	246
Ankle Grips	100	-121	-90	-49
Door Straps	432	-723	-669	-601
Small Metal Carabiners	804	-592	-511	-410
Small Red and Black Carabiners	500	-500	-500	-500
Large Carabiners	408	-408	-408	-408
Hand Straps	250	-214	-201	-184
Travel Bags	1	66	91	122
DVDs	800	-735	-711	-682
Sleeves	1000	-935	-911	-882
Manuals	90	-24	1	31
Battle Rope - 1-1/2 inch x 30 ft	1	-1	-1	-1
Battle Rope - 1-1/2 inch x 50 ft	1	-1	-1	-1
Battle Rope - 2 inch x 30 ft	1	-1	-1	-1
Battle Rope - 2 inch x 50 ft	1	-3	-3	-3
test product	4	-4	-4	-4
